id,parent_id,name,type,order,status,callsign,lat,lon
PMM-OPS-20260308,,Centro Coordinacion PMM Evento Hostil,command,0,active,PMM-MANDO,40.416800,-3.703800
SEC-CENTRO,PMM-OPS-20260308,Sector Centro,command,0,active,SECTOR-C,40.417500,-3.703000
SEC-CENTRO-INT-A,SEC-CENTRO,Equipo Intervencion A,team,0,active,SECTOR-C-A,40.419700,-3.701200
SEC-CENTRO-INT-B,SEC-CENTRO,Equipo Intervencion B,team,1,active,SECTOR-C-B,40.415500,-3.704600
SEC-CENTRO-MOTO,SEC-CENTRO,Unidad Motorizada,unit,2,active,SECTOR-C-M,40.418700,-3.705100
SEC-CENTRO-A-01,SEC-CENTRO-INT-A,Agente A1,operator,0,active,SECTOR-C-A1,40.419820,-3.701310
SEC-CENTRO-A-02,SEC-CENTRO-INT-A,Agente A2,operator,1,active,SECTOR-C-A2,40.419940,-3.701420
SEC-CENTRO-A-03,SEC-CENTRO-INT-A,Agente A3,operator,2,active,SECTOR-C-A3,40.420060,-3.701530
SEC-CENTRO-A-04,SEC-CENTRO-INT-A,Agente A4,operator,3,active,SECTOR-C-A4,40.420180,-3.701640
SEC-CENTRO-A-05,SEC-CENTRO-INT-A,Agente A5,operator,4,active,SECTOR-C-A5,40.420300,-3.701750
SEC-CENTRO-B-01,SEC-CENTRO-INT-B,Agente B1,operator,0,active,SECTOR-C-B1,40.415400,-3.704500
SEC-CENTRO-B-02,SEC-CENTRO-INT-B,Agente B2,operator,1,active,SECTOR-C-B2,40.415300,-3.704400
SEC-CENTRO-B-03,SEC-CENTRO-INT-B,Agente B3,operator,2,active,SECTOR-C-B3,40.415200,-3.704300
SEC-CENTRO-B-04,SEC-CENTRO-INT-B,Agente B4,operator,3,active,SECTOR-C-B4,40.415100,-3.704200
SEC-CENTRO-B-05,SEC-CENTRO-INT-B,Agente B5,operator,4,active,SECTOR-C-B5,40.415000,-3.704100
SEC-CENTRO-M-01,SEC-CENTRO-MOTO,Patrulla Motorizada 1,operator,0,active,SECTOR-C-M1,40.418840,-3.705190
SEC-CENTRO-M-02,SEC-CENTRO-MOTO,Patrulla Motorizada 2,operator,1,active,SECTOR-C-M2,40.418980,-3.705280
SEC-CENTRO-M-03,SEC-CENTRO-MOTO,Patrulla Motorizada 3,operator,2,active,SECTOR-C-M3,40.419120,-3.705370
SEC-CENTRO-M-04,SEC-CENTRO-MOTO,Patrulla Motorizada 4,operator,3,active,SECTOR-C-M4,40.419260,-3.705460
SEC-NORTE,PMM-OPS-20260308,Sector Norte,command,1,active,SECTOR-N,40.433800,-3.703300
SEC-NORTE-INT-A,SEC-NORTE,Equipo Intervencion A,team,0,active,SECTOR-N-A,40.436000,-3.701500
SEC-NORTE-INT-B,SEC-NORTE,Equipo Intervencion B,team,1,active,SECTOR-N-B,40.431800,-3.704900
SEC-NORTE-MOTO,SEC-NORTE,Unidad Motorizada,unit,2,active,SECTOR-N-M,40.435000,-3.705400
SEC-NORTE-A-01,SEC-NORTE-INT-A,Agente A1,operator,0,active,SECTOR-N-A1,40.436120,-3.701610
SEC-NORTE-A-02,SEC-NORTE-INT-A,Agente A2,operator,1,active,SECTOR-N-A2,40.436240,-3.701720
SEC-NORTE-A-03,SEC-NORTE-INT-A,Agente A3,operator,2,active,SECTOR-N-A3,40.436360,-3.701830
SEC-NORTE-A-04,SEC-NORTE-INT-A,Agente A4,operator,3,active,SECTOR-N-A4,40.436480,-3.701940
SEC-NORTE-A-05,SEC-NORTE-INT-A,Agente A5,operator,4,active,SECTOR-N-A5,40.436600,-3.702050
SEC-NORTE-B-01,SEC-NORTE-INT-B,Agente B1,operator,0,active,SECTOR-N-B1,40.431700,-3.704800
SEC-NORTE-B-02,SEC-NORTE-INT-B,Agente B2,operator,1,active,SECTOR-N-B2,40.431600,-3.704700
SEC-NORTE-B-03,SEC-NORTE-INT-B,Agente B3,operator,2,active,SECTOR-N-B3,40.431500,-3.704600
SEC-NORTE-B-04,SEC-NORTE-INT-B,Agente B4,operator,3,active,SECTOR-N-B4,40.431400,-3.704500
SEC-NORTE-B-05,SEC-NORTE-INT-B,Agente B5,operator,4,active,SECTOR-N-B5,40.431300,-3.704400
SEC-NORTE-M-01,SEC-NORTE-MOTO,Patrulla Motorizada 1,operator,0,active,SECTOR-N-M1,40.435140,-3.705490
SEC-NORTE-M-02,SEC-NORTE-MOTO,Patrulla Motorizada 2,operator,1,active,SECTOR-N-M2,40.435280,-3.705580
SEC-NORTE-M-03,SEC-NORTE-MOTO,Patrulla Motorizada 3,operator,2,active,SECTOR-N-M3,40.435420,-3.705670
SEC-NORTE-M-04,SEC-NORTE-MOTO,Patrulla Motorizada 4,operator,3,active,SECTOR-N-M4,40.435560,-3.705760
SEC-SUR,PMM-OPS-20260308,Sector Sur,command,2,active,SECTOR-S,40.395500,-3.700000
SEC-SUR-INT-A,SEC-SUR,Equipo Intervencion A,team,0,active,SECTOR-S-A,40.397700,-3.698200
SEC-SUR-INT-B,SEC-SUR,Equipo Intervencion B,team,1,active,SECTOR-S-B,40.393500,-3.701600
SEC-SUR-MOTO,SEC-SUR,Unidad Motorizada,unit,2,active,SECTOR-S-M,40.396700,-3.702100
SEC-SUR-A-01,SEC-SUR-INT-A,Agente A1,operator,0,active,SECTOR-S-A1,40.397820,-3.698310
SEC-SUR-A-02,SEC-SUR-INT-A,Agente A2,operator,1,active,SECTOR-S-A2,40.397940,-3.698420
SEC-SUR-A-03,SEC-SUR-INT-A,Agente A3,operator,2,active,SECTOR-S-A3,40.398060,-3.698530
SEC-SUR-A-04,SEC-SUR-INT-A,Agente A4,operator,3,active,SECTOR-S-A4,40.398180,-3.698640
