id,parent_id,name,type,order,status,callsign,lat,lon
CECOR-FERRAZ-REF,,CECOR Ferraz Referencia,command,0,active,CECOR-FZ,40.430200,-3.717200
CNP-UIP-G1,CECOR-FERRAZ-REF,UIP Grupo 1,command,0,active,UIP-1,40.431000,-3.718000
CNP-UIP-G1-SEC1,CNP-UIP-G1,Seccion UIP 1,team,0,active,UIP-1-S1,40.430450,-3.718550
CNP-UIP-G1-SEC1-OP01,CNP-UIP-G1-SEC1,Agente UIP 1-1,operator,0,active,UIP-1-1-1,40.430370,-3.718630
CNP-UIP-G1-SEC1-OP02,CNP-UIP-G1-SEC1,Agente UIP 1-2,operator,1,active,UIP-1-1-2,40.430450,-3.718630
CNP-UIP-G1-SEC1-OP03,CNP-UIP-G1-SEC1,Agente UIP 1-3,operator,2,active,UIP-1-1-3,40.430530,-3.718630
CNP-UIP-G1-SEC1-OP04,CNP-UIP-G1-SEC1,Agente UIP 1-4,operator,3,active,UIP-1-1-4,40.430610,-3.718630
CNP-UIP-G1-SEC1-OP05,CNP-UIP-G1-SEC1,Agente UIP 1-5,operator,4,active,UIP-1-1-5,40.430290,-3.718550
CNP-UIP-G1-SEC1-OP06,CNP-UIP-G1-SEC1,Agente UIP 1-6,operator,5,active,UIP-1-1-6,40.430370,-3.718550
CNP-UIP-G1-SEC1-OP07,CNP-UIP-G1-SEC1,Agente UIP 1-7,operator,6,active,UIP-1-1-7,40.430450,-3.718550
CNP-UIP-G1-SEC1-OP08,CNP-UIP-G1-SEC1,Agente UIP 1-8,operator,7,active,UIP-1-1-8,40.430530,-3.718550
CNP-UIP-G1-SEC1-OP09,CNP-UIP-G1-SEC1,Agente UIP 1-9,operator,8,active,UIP-1-1-9,40.430610,-3.718550
CNP-UIP-G1-SEC1-OP10,CNP-UIP-G1-SEC1,Agente UIP 1-10,operator,9,active,UIP-1-1-10,40.430290,-3.718470
CNP-UIP-G1-SEC1-OP11,CNP-UIP-G1-SEC1,Agente UIP 1-11,operator,10,active,UIP-1-1-11,40.430370,-3.718470
CNP-UIP-G1-SEC1-OP12,CNP-UIP-G1-SEC1,Agente UIP 1-12,operator,11,active,UIP-1-1-12,40.430450,-3.718470
CNP-UIP-G1-SEC1-OP13,CNP-UIP-G1-SEC1,Agente UIP 1-13,operator,12,active,UIP-1-1-13,40.430530,-3.718470
CNP-UIP-G1-SEC1-OP14,CNP-UIP-G1-SEC1,Agente UIP 1-14,operator,13,active,UIP-1-1-14,40.430610,-3.718470
CNP-UIP-G1-SEC1-OP15,CNP-UIP-G1-SEC1,Agente UIP 1-15,operator,14,active,UIP-1-1-15,40.430290,-3.718390
CNP-UIP-G1-SEC2,CNP-UIP-G1,Seccion UIP 2,team,1,active,UIP-1-S2,40.431000,-3.718000
CNP-UIP-G1-SEC2-OP01,CNP-UIP-G1-SEC2,Agente UIP 2-1,operator,0,active,UIP-1-2-1,40.430920,-3.718080
CNP-UIP-G1-SEC2-OP02,CNP-UIP-G1-SEC2,Agente UIP 2-2,operator,1,active,UIP-1-2-2,40.431000,-3.718080
CNP-UIP-G1-SEC2-OP03,CNP-UIP-G1-SEC2,Agente UIP 2-3,operator,2,active,UIP-1-2-3,40.431080,-3.718080
CNP-UIP-G1-SEC2-OP04,CNP-UIP-G1-SEC2,Agente UIP 2-4,operator,3,active,UIP-1-2-4,40.431160,-3.718080
CNP-UIP-G1-SEC2-OP05,CNP-UIP-G1-SEC2,Agente UIP 2-5,operator,4,active,UIP-1-2-5,40.430840,-3.718000
